name,cpp,java,ansic,pascal,javascript,python,cs,ruby,php,earlang,perl,sh,xml,yacc,ml,lisp,lex,asm,f90,awk,obj,tcl,sed
ahawkins_docker-thrift,970705,19852,18693,14438,9454,9431,9202,8381,6962,6408,3413,1497,1021,1010,962,649,336,0,0,0,0,0,0
alpinelinux_docker-alpine,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0
apache_couchdb-docker,0,0,619,0,0,457,0,0,0,0,64,1090,0,0,0,0,0,0,0,0,0,0,0
appropriate_docker-jetty,0,0,0,0,0,0,0,0,0,0,0,215,1399,0,0,0,0,0,0,0,0,0,0
backdrop-ops_backdrop-docker,0,0,0,83572,14246,0,0,0,17986,0,64,1973,463,0,0,0,0,0,0,0,0,0,0
c0b_docker-elixir,0,0,0,0,0,0,0,0,0,9464,64,604,0,0,0,0,0,0,0,0,0,0,0
carlossg_docker-maven,0,6,0,0,0,0,0,0,0,0,0,198,35,0,0,0,0,0,0,0,0,0,0
composer_docker,0,0,0,0,0,0,0,0,4175,0,0,78,0,0,0,0,0,0,0,0,0,0,0
containous_traefik-library-image,0,0,0,0,2254,0,0,0,0,0,64,695,0,0,0,0,0,0,0,0,0,0,0
cpuguy83_docker-jruby,0,256465,5113,0,0,0,0,540452,0,0,0,992,30437,4843,0,0,0,0,0,0,0,40,0
crate_docker-crate,0,0,0,0,0,377,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
docker-flink_docker-flink,0,0,0,0,0,0,0,0,0,0,64,924,0,0,0,0,0,0,0,0,0,0,0
docker-library_buildpack-deps,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0
docker-library_drupal,0,0,0,38595,5184,0,0,0,42762,0,0,1559,441,0,0,0,0,0,0,0,0,0,0
docker-library_golang,39,0,6356,0,714,357,0,0,0,0,1159,2141,623,0,0,0,0,104641,8,7,4,0,0
docker-library_memcached,0,0,20527,0,0,422,0,0,0,0,7068,563,1638,0,0,0,0,0,0,0,0,0,0
docker-library_mongo,0,0,0,0,8081,0,0,0,0,0,64,944,0,0,0,0,0,0,0,0,0,0,0
docker-library_mysql,0,0,0,0,0,0,0,0,0,0,64,686,0,0,0,0,0,0,0,0,0,0,0
docker-library_openjdk,1690,0,2760,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0
docker-library_php,0,0,0,0,0,0,0,0,0,0,64,913,0,0,0,0,0,0,0,0,0,0,0
docker-library_postgres,0,0,0,0,0,0,0,0,0,0,64,1363,0,0,0,0,0,0,0,0,0,0,0
docker-library_pypy,0,0,0,0,0,105508,0,0,0,0,64,462,0,0,0,0,0,0,0,0,0,0,0
docker-library_redis,364,0,135591,0,0,162,0,629,0,0,4202,4685,0,0,0,0,0,0,0,0,0,16754,0
docker-library_ruby,0,0,0,0,4815,166,0,101117,0,0,367,471,0,0,0,0,0,0,0,0,0,0,0
docker-library_tomcat,0,342110,0,0,0,0,0,0,0,0,315,1335,60132,0,0,0,0,0,0,0,0,0,0
docker-library_wordpress,0,0,0,0,0,0,0,0,148,0,64,757,0,0,0,0,0,0,0,0,0,0,0
docker-solr_docker-solr,0,0,619,0,0,494,0,0,0,0,64,3262,55,0,0,0,0,0,0,0,0,0,0
docker_distribution-library-image,0,0,24,0,0,0,0,0,0,0,64,1568,1370,0,0,0,0,1637,0,0,0,0,0
eclipse_mosquitto,1716,461,164569,0,2896,10848,0,0,0,0,134,1640,5554,0,0,0,0,0,0,0,0,0,0
erlang_docker-erlang-otp,51890,8061,392151,3435,733,5195,0,0,2,1493377,4327,12149,407745,0,0,9684,0,3586,0,0,0,0,72
fluent_fluentd-docker-image,26104,0,1464140,0,0,24905,0,0,0,0,9303,26780,1709,0,0,2,0,12869,0,0,1463,0,0
friendica_docker,0,0,619,0,0,457,0,0,61,0,64,945,0,0,0,0,0,0,0,0,0,0,0
fsprojects_docker-fsharp,0,0,0,0,0,0,3080,0,0,0,64,775,174086,0,1007,0,0,0,0,0,0,0,0
geonetwork_docker-geonetwork,0,330,0,0,290470,0,0,0,0,0,0,225,187231,0,0,0,0,0,0,0,0,0,0
hashicorp_docker-vault,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0
haskell_docker-haskell,0,0,12,0,23,0,0,0,0,0,64,1051,0,0,0,9,0,0,0,0,0,0,0
HaxeFoundation_docker-library-haxe,0,0,19385,0,0,0,0,0,0,0,64,294,0,0,4924,0,0,0,0,0,0,0,0
hylang_hy,0,0,0,0,0,5089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ibmruntimes_ci.docker,0,0,0,0,0,0,0,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0
jenkinsci_docker,0,0,2457,0,0,457,0,103,0,0,281,21375,0,0,0,0,0,5171,0,0,0,0,0
joomla_docker-joomla,0,0,0,0,116135,0,0,0,385244,0,64,577,47987,0,0,0,0,0,0,0,0,0,0
juanluisbaptiste_docker-brew-mageia,0,0,0,0,0,0,0,857,0,0,64,1660,0,0,0,0,0,0,0,0,0,0,0
keeganwitt_docker-gradle,0,22,0,0,0,0,0,0,0,0,0,154,2,0,0,0,0,0,0,0,0,0,0
Lightstreamer_Docker,0,0,0,0,4165,0,0,0,0,0,0,788,675,0,0,0,0,0,0,0,0,0,0
mongo-express_mongo-express-docker,1762856,0,705114,0,1274994,82855,186,0,0,0,1141908,4982,1980,0,0,521,0,572047,0,0,0,0,5
mono_docker,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0
nats-io_nats-streaming-docker,0,0,53,0,0,91,0,0,0,0,64,1323,0,0,0,0,0,5922,0,0,0,0,0
nginxinc_docker-nginx,0,0,0,0,0,0,0,0,0,0,1141908,78,0,0,0,0,0,0,0,0,0,0,0
nodejs_docker-node,1762856,0,705114,0,1274994,82855,186,0,0,0,0,5677,1980,0,0,521,0,572047,0,0,0,0,5
OpenLiberty_ci.docker,0,0,0,0,0,0,0,0,0,0,0,512,318,0,0,0,0,0,0,0,0,0,0
orientechnologies_orientdb-docker,0,0,0,0,11829,0,0,0,0,0,0,172,769,0,0,0,0,0,0,0,0,0,0
osrf_docker_images,0,0,0,0,0,345,0,0,0,0,64,525,0,0,0,0,0,0,0,0,0,0,0
Perl_docker-perl,7936,0,613460,8323,0,0,0,0,0,0,488096,39970,2411,1126,0,5,0,0,0,0,0,0,0
plone_plone.docker,0,0,0,0,0,578,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0
postfixadmin_docker,0,0,0,0,5315,169,0,0,27997,0,1128,1099,72,0,0,0,0,0,0,0,0,0,0
Quantisan_docker-clojure,0,0,1838,0,0,0,0,0,0,0,64,3940,0,0,0,0,0,4044,0,0,0,0,0
rocker-org_rocker,0,0,0,0,0,0,0,0,0,0,661,1140,0,0,0,0,0,0,0,0,0,0,0
RocketChat_Docker.Official.Image,1762856,0,705114,0,1274994,82855,186,0,0,0,1141908,5072,1980,0,0,521,0,572047,0,0,0,0,5
rust-lang_docker-rust,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silverpeas_docker-silverpeas-prod,0,578240,0,0,0,0,0,0,0,0,64,1286,195027,0,0,0,0,0,0,0,0,0,0
SonarSource_docker-sonarqube,0,0,0,0,1394,0,0,0,0,0,0,1415,152,0,0,0,0,0,0,0,0,0,0
SWI-Prolog_docker-swipl,4554,0,298,0,0,0,0,0,0,0,5853,565,0,0,0,0,0,0,0,0,0,0,0
TeamSpeak-Systems_teamspeak-linux-docker-images,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0
tianon_docker-bash,0,0,107007,0,0,0,0,0,0,0,4291,8097,0,5401,0,0,0,48,0,23,0,0,16
TimWolla_docker-adminer,0,0,0,0,1220,0,0,0,25525,0,64,420,0,0,0,0,0,0,0,0,0,0,0
TimWolla_docker-spiped,0,0,6690,0,0,0,0,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0
tomitribe_docker-tomee,0,858,0,0,58,0,0,0,0,0,0,1301,1431,0,0,0,0,0,0,0,0,0,0
WASdev_ci.docker,0,0,0,0,0,0,0,0,0,0,0,672,264,0,0,0,0,0,0,0,0,0,0
YOURLS_docker-yourls,0,0,0,0,854,0,0,0,20592,0,64,564,0,0,0,0,0,0,0,0,0,0,0
znc_znc-docker,21269,0,0,0,0,0,0,0,0,0,358,2848,0,0,0,0,0,0,0,0,0,0,0
covid19-italy,0,0,0,0,0,541,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
